acousticness,danceability,energy,instrumentalness,key,loudness,mode,speechiness,valence,target
0.000183,0.695,0.792,0.439,9,-4.595,0,0.0328,0.424,1
6.89E-05,0.286,0.704,0.034,9,-5.12,0,0.0374,0.185,1
0.00118,0.682,0.953,0.622,11,-3.873,0,0.0474,0.324,1
0.419,0.727,0.657,0,0,-5.307,1,0.188,0.794,1
0.0132,0.807,0.778,0.666,0,-5.485,1,0.0399,0.797,1
0.00041,0.731,0.852,0.625,11,-6.08,1,0.0476,0.622,1
0.247,0.525,0.643,0,5,-6.874,0,0.816,0.943,1
0.0668,0.704,0.647,1.93E-06,10,-7.874,0,0.171,0.694,1
0.037,0.807,0.785,0.000763,8,-7.928,1,0.148,0.421,1
0.0107,0.882,0.743,0.00152,7,-6.972,1,0.141,0.678,1
0.0315,0.628,0.824,0.543,0,-7.983,1,0.112,0.86,1
0.111,0.615,0.781,0,5,-4.838,0,0.203,0.664,1
0.0047,0.777,0.688,0.69,8,-8.692,0,0.0681,0.18,1
0.0597,0.65,0.985,0.325,6,-3.406,0,0.133,0.667,1
0.0151,0.502,0.732,0.000119,1,-5.45,1,0.168,0.529,1
0.00963,0.667,0.848,0.000213,10,-6.164,0,0.05,0.895,1
0.172,0.683,0.805,0.000231,5,-5.24,1,0.353,0.836,1
0.0235,0.761,0.478,0.00972,4,-7.437,0,0.0545,0.948,1
0.0961,0.704,0.49,0.000114,9,-6.667,1,0.339,0.646,1
0.00241,0.85,0.664,0.0672,0,-9.141,1,0.105,0.584,1
0.0252,0.745,0.894,0.878,8,-4.721,0,0.0448,0.49,1
0.02,0.671,0.781,0,2,-5.363,1,0.311,0.684,1
0.00402,0.872,0.565,0.237,7,-10.236,1,0.0708,0.885,1
0.114,0.725,0.661,0,7,-3.903,1,0.131,0.432,1
0.00525,0.7,0.675,0,2,-6.362,1,0.149,0.227,1
0.0173,0.916,0.571,1.11E-06,10,-8.241,0,0.2,0.467,1
0.14,0.85,0.534,0.000893,1,-5.278,1,0.322,0.963,1
0.00266,0.444,0.498,0.0299,2,-7.631,1,0.199,0.294,1
0.0175,0.564,0.737,0,9,-4.079,1,0.0414,0.231,1
0.0155,0.76,0.944,0.85,6,-3.793,0,0.0733,0.294,1
0.015,0.836,0.537,0.00103,4,-9.854,0,0.261,0.43,1
0.96,0.508,0.325,0.00259,2,-11.627,1,0.037,0.271,1
0.217,0.704,0.657,0.000118,10,-7.172,0,0.35,0.804,1
0.0923,0.789,0.494,0.000408,1,-13.702,1,0.0456,0.832,1
0.00479,0.804,0.56,0,8,-6.682,1,0.185,0.264,1
0.0145,0.739,0.472,7.27E-06,1,-11.204,1,0.156,0.308,1
0.0565,0.853,0.547,0,1,-7.535,1,0.194,0.677,1
0.00257,0.896,0.623,0.000258,2,-8.008,1,0.0571,0.564,1
0.00157,0.79,0.676,0,8,-6.432,0,0.271,0.314,1
0.19,0.735,0.41,0,11,-8.735,0,0.2,0.16,1
0.0472,0.849,0.408,0,6,-8.67,0,0.284,0.337,1
0.369,0.662,0.571,0.000197,6,-7.382,0,0.106,0.442,1
0.0425,0.79,0.531,0,8,-6.968,1,0.197,0.498,1
0.003,0.766,0.453,3.49E-05,6,-6.651,0,0.067,0.346,1
0.00349,0.772,0.407,2.40E-05,6,-7.442,0,0.0907,0.287,1
0.763,0.707,0.709,0,11,-3.979,0,0.34,0.497,1
0.0103,0.745,0.822,4.20E-06,7,-6.354,1,0.252,0.374,1
0.0414,0.774,0.901,4.84E-06,9,-5.398,0,0.216,0.768,1
0.0645,0.824,0.883,0.0707,0,-2.715,1,0.108,0.846,1
0.000134,0.701,0.914,0.000137,7,-4.463,1,0.129,0.372,1
0.00264,0.844,0.728,0.865,11,-6.805,0,0.0582,0.635,1
0.00174,0.67,0.848,0.00168,0,-5.103,0,0.0537,0.46,1
0.0113,0.523,0.863,0.204,8,-4.975,0,0.0553,0.428,1
